segment,segment_value,variant,p_value,effect_size,ci_lower,ci_upper,adjusted_p_value
user_segment,active,B,0.0,0.23877719936287528,,,0.0
user_segment,active,C,1.3560070504672065e-282,0.14233756835304526,,,7.051236662429473e-282
user_segment,new,B,3.822722089744791e-33,-0.14971420615083406,,,5.846516137256739e-33
user_segment,new,C,2.4394526971090365e-13,-0.09032203246479704,,,3.020274767849283e-13
user_segment,inactive,B,5.270712575122457e-48,0.13067357470619437,,,1.0541425150244915e-47
user_segment,inactive,C,3.762621127313408e-166,-0.246331742507492,,,1.3975449901449801e-165
user_segment,unknown,B,0.0011411067424025854,0.16110127935015323,,,0.0012361989709361342
send_time,afternoon,B,1.1548841340669653e-134,0.19386800885256436,,,3.753373435717637e-134
send_time,afternoon,C,3.819831551547571e-23,0.0768683832733003,,,4.965781017011842e-23
send_time,morning,B,0.0,0.3138787049906666,,,0.0
send_time,morning,C,4.20834581699289e-46,0.0778785818917828,,,7.815499374415367e-46
send_time,evening,B,1.0533709400421733e-32,0.06560156387862265,,,1.521535802283139e-32
send_time,evening,C,8.303441240707716e-27,0.05862545035974204,,,1.1362603803073718e-26
device,desktop,B,1.090794820991498e-227,0.19040236433372776,,,4.726777557629824e-227
device,desktop,C,9.459586415817842e-36,0.07298595617119094,,,1.5371827925703992e-35
device,mobile,B,0.0,0.19400478551565156,,,0.0
device,mobile,C,6.103772275610661e-52,0.07070436946424288,,,1.3224839930489765e-51
device,tablet,B,8.939888868919791e-62,0.18401321974209892,,,2.113064641744678e-61
device,tablet,C,4.4628499376552556e-07,0.055392188062176224,,,5.04496079908855e-07
content_layout,text-heavy,B,1.4955766203307847e-36,0.08036547220259577,,,2.5923328085733605e-36
content_layout,balanced,B,2.2998371783244772e-118,0.14742724036372276,,,5.97957666364364e-118
content_layout,balanced,C,7.080973405582379e-13,0.04529291739939436,,,8.368423115688267e-13
content_layout,visual-heavy,B,0.0,0.30950963239468504,,,0.0
content_layout,visual-heavy,C,1.745530662654268e-128,0.13221798216007088,,,5.042644136556774e-128
